strategy,mean_entity_recall,global_pair_recall,entity_coverage
name_norm + digit composites,0.6168265395534852,0.6174415171101414,0.9010651568947318
name_norm + all digit composites,0.6559751498355039,0.6583614947996982,0.914139717877363
name_norm + digit + first3 composites,0.6289329509054103,0.6294760326782375,0.9104212647538624
all composite keys,0.5112296773719621,0.514071983988976,0.8067363976585741
