cap,mean_entity_recall,global_pair_recall,entity_coverage,candidate_pairs_sample,mean_candidates_per_s1,median_nonzero,p95_nonzero,max_candidates_per_s1
100,0.5111339916361027,0.5111453787853932,0.8097111601573745,785120,17.796717744129115,6.0,87.0,100
250,0.528663918234257,0.5291052856064832,0.8283514058151809,1298742,29.439251065373107,8.0,128.0,250
500,0.5343976853680817,0.5348600675875193,0.8334852701276269,1600658,36.28293589627346,9.0,171.0,496
1000,0.537815225576117,0.5381738246005446,0.8362921024853661,2117602,48.00077069543929,10.0,210.0,994
2000,0.5403484003468411,0.5406804685193084,0.8385471643796181,2650779,60.086567231843325,10.0,246.0,1979
5000,0.5419748951535728,0.5422225138620034,0.8399145955282602,3411476,77.32967630791549,10.0,273.0,3830
10000,0.5429157323367332,0.5430624364316414,0.8404423759715958,4453828,100.95720373560613,11.0,285.90000000000146,6713
20000,0.5502715865870793,0.5503133304898454,0.845816140485558,23503508,532.7660712666607,12.0,956.0,18561
